Case #1: Impossible
Case #2: 19
4 8 574209
3 5 570051
5 4 606835
5 7 998358
3 1 97418
8 9 415878
5 9 358109
3 2 308933
1 9 309360
8 5 773987
7 2 743615
3 9 211942
5 1 576801
1 6 602809
8 7 826120
6 4 818725
9 6 660394
5 2 365286
2 6 814298
Case #3: Impossible
Case #4: 309
14 18 111348
4 26 189876
10 20 207573
9 16 155914
9 3 28620
5 19 187498
8 12 77968
2 20 172432
27 23 72346
22 7 95920
26 7 194723
19 8 155282
7 10 178137
6 23 82618
4 25 122596
15 5 66216
7 11 115265
24 18 65537
10 16 244658
27 13 104677
20 8 136556
12 19 112091
19 11 187033
13 20 28540
6 7 49267
7 24 135585
1 26 175788
15 4 196347
19 6 121035
6 21 94359
17 19 151876
14 4 87254
11 25 98601
18 8 55028
2 5 115960
22 16 202383
16 2 231552
13 21 20590
1 13 144141
14 11 63259
13 22 125306
3 13 107787
22 1 212014
27 5 114778
17 23 138506
26 18 157019
21 16 97337
5 20 121585
23 26 212709
27 25 22331
2 23 95342
8 1 173916
23 8 116865
24 15 200744
13 23 156005
21 23 135415
17 3 48056
2 22 29169
25 26 145197
9 19 132440
14 15 109093
11 22 19345
8 5 117542
24 25 77359
14 22 43914
14 19 211602
12 15 111959
13 6 114949
27 9 142664
7 15 158365
22 21 141012
26 11 165881
8 11 100245
22 19 167688
7 25 81870
27 2 107112
26 3 160585
1 7 158896
27 1 134071
14 26 178222
1 19 232553
17 16 217224
14 17 96306
23 25 73659
12 20 103418
12 4 116142
9 14 97935
22 10 172779
17 6 55888
20 27 92037
18 21 73578
17 1 152275
3 11 100418
4 24 91077
3 15 103688
18 15 170485
16 5 201346
14 16 158469
20 4 104058
19 10 154640
10 5 85988
21 19 150188
25 13 82346
27 21 84087
24 3 128810
14 21 103387
17 20 143203
12 25 144818
9 2 138862
25 18 11822
13 8 149196
14 12 116716
9 22 109693
7 19 158497
13 17 150274
4 16 193445
6 27 31290
24 21 139115
5 3 83678
11 6 65998
14 23 110087
15 10 19772
10 2 201948
3 23 147246
16 18 170915
20 24 147065
14 7 89685
25 6 32603
23 11 85518
26 6 177800
4 17 145881
2 18 96603
19 26 56765
4 1 219659
22 4 43340
5 18 104269
26 5 135345
18 1 144580
1 12 208602
12 24 120539
17 15 151744
15 21 179851
2 15 182176
1 11 231359
14 24 91651
19 18 100254
19 23 162091
9 12 36891
22 25 79256
5 9 55058
3 4 124413
20 14 111337
4 18 110774
20 16 89387
5 14 42877
10 23 238952
11 2 48514
16 3 184534
27 15 180994
11 17 121886
25 5 116091
13 16 117927
26 8 179703
4 10 216119
8 4 124240
9 17 76676
15 9 121274
10 21 199623
10 26 107763
10 14 128865
6 9 132564
10 18 190257
12 3 8271
16 23 214536
13 14 123977
7 9 83297
1 23 206417
6 22 46653
3 27 135234
25 19 88432
5 17 131734
27 18 10509
4 11 62685
24 17 142206
1 3 200331
21 1 123551
7 3 54677
19 3 103820
17 25 88491
11 10 192124
24 1 210117
20 7 149824
24 9 157430
16 12 192805
12 27 143505
1 5 237186
23 15 219180
19 4 211028
1 25 156402
22 12 72802
10 3 123460
9 1 182128
1 6 165361
2 4 72509
6 24 86318
27 4 108061
20 23 143365
1 16 204988
12 26 168856
13 5 134225
23 22 66173
26 20 180789
11 9 129038
15 6 191266
9 25 120333
21 3 87197
11 12 92147
22 18 67434
2 1 241183
2 21 170181
8 10 187433
2 14 73083
5 7 132562
9 8 98317
16 7 223845
17 7 6621
16 11 213305
27 11 97288
9 10 141046
21 25 61756
18 12 132996
27 7 80557
8 15 167661
2 13 154475
12 10 131731
2 26 117367
27 17 87178
15 1 303323
8 27 65537
10 24 220516
12 6 112215
20 11 123918
22 24 47737
14 3 124987
2 6 75822
19 15 134868
17 8 21641
6 20 102309
15 13 200441
9 21 58577
19 2 174132
26 13 179678
27 24 76046
1 10 283551
25 3 136547
25 10 202079
4 5 130131
26 27 167528
24 19 165791
23 5 152964
15 11 172352
20 15 187801
19 16 90018
25 8 66850
17 21 135253
18 3 124725
7 2 125089
12 2 101971
22 5 86791
2 3 110242
2 8 110069
16 15 224886
14 8 74665
24 2 76906
26 21 172839
5 6 125050
14 6 90567
20 21 7950
26 9 189205
3 22 81073
25 14 123170
13 24 159705
7 12 62948
18 7 70048
1 20 115601
5 12 91949
17 12 56327
4 23 109513
22 26 146536
16 27 181424
24 8 120565
27 22 77943
18 23 61837
25 16 159093
21 11 126551
5 24 134528
2 17 131710
22 8 80900
4 7 139260
18 11 86779
